Date,n,P,score_window
2024-01-01,20,0.2,352.48549999999886
2024-01-02,20,0.2,364.68299999999726
2024-01-03,20,0.2,377.48199999999633
2024-01-04,20,0.2,368.78999999999724
2024-01-05,20,0.2,371.84000000000015
2024-01-08,26,0.2,371.8587179487149
2024-01-09,26,0.2,407.79948717948355
2024-01-10,30,0.1,364.0883333333368
2024-01-11,30,0.1,353.32750000000306
2024-01-12,30,0.1,396.5291666666708
2024-01-15,30,0.1,401.5373333333373
2024-01-16,30,0.1,507.6576666666624
2024-01-17,12,0.1,445.53249999999025
2024-01-18,12,0.1,448.21083333332354
2024-01-19,12,0.1,436.33916666665755
2024-01-20,12,0.1,369.92249999998967
2024-01-23,12,0.1,307.24624999999287
2024-01-24,12,0.1,292.86791666665886
2024-01-25,12,0.1,288.1874999999927
2024-01-29,12,0.1,291.4570833333273
2024-01-30,12,0.1,313.6149999999943
2024-01-31,12,0.1,318.58874999999534
2024-02-01,12,0.1,325.2299999999959
2024-02-02,12,0.1,306.5291666666635
2024-02-05,16,0.26,351.6605416666607
2024-02-06,16,0.26,362.4022083333293
2024-02-07,12,0.1,396.85375000000204
2024-02-08,12,0.1,393.0570833333368
2024-02-09,12,0.1,349.6820833333404
2024-02-12,16,0.26,320.6156666666611
2024-02-13,16,0.26,340.1002291666591
2024-02-14,16,0.26,318.4502291666613
2024-02-15,12,0.24,302.3046666666669
2024-02-16,12,0.24,311.20466666666834
2024-02-19,12,0.24,476.70466666666834
2024-02-20,22,0.3,440.6012121212043
2024-02-21,20,0.3,467.7241666666632
2024-02-22,20,0.3,492.7869166666642
2024-02-23,20,0.3,525.5619166666656
2024-02-26,20,0.3,466.24841666666543
2024-02-27,20,0.3,405.5661666666638
2024-02-28,20,0.3,341.28541666666206
2024-02-29,20,0.3,339.1096666666599
2024-03-01,20,0.3,339.1096666666599
2024-03-04,20,0.3,336.0804166666603
2024-03-05,20,0.3,336.0804166666603
2024-03-06,20,0.3,313.48041666666177
2024-03-07,20,0.3,376.4387499999975
2024-03-11,20,0.3,304.6212499999965
2024-03-12,20,0.3,363.3692499999961
2024-03-13,20,0.3,288.6364999999969
2024-03-14,20,0.3,347.1504999999961
2024-03-15,24,0.28,423.4960000000028
2024-03-18,20,0.28,363.17010000000664
2024-03-19,24,0.28,359.94600000000355
2024-03-20,14,0.28,426.2910000000047
2024-03-21,28,0.1,318.8566071428577
2024-03-22,24,0.28,233.74600000000646
2024-03-26,30,0.24,349.3624000000018
2024-03-27,30,0.24,349.3624000000018
2024-03-28,30,0.24,318.7623999999996
2024-04-01,30,0.24,370.1244000000006
2024-04-02,30,0.24,314.3040000000001
2024-04-03,30,0.24,314.3040000000001
2024-04-04,30,0.24,306.2055999999975
2024-04-05,30,0.24,225.78893333333326
2024-04-08,30,0.24,225.78893333333326
2024-04-09,30,0.24,183.238933333334
2024-04-10,30,0.24,183.238933333334
2024-04-12,12,0.1,137.59125000000495
2024-04-15,14,0.2,189.64690476190663
2024-04-16,14,0.2,280.6426190476195
2024-04-18,12,0.12,237.92483333333075
2024-04-19,12,0.12,227.62249999999767
2024-04-22,14,0.2,409.27952380952775
2024-04-23,14,0.2,365.0188095238118
2024-04-24,14,0.2,320.006666666668
