entry_time,side,entry_px,exit_time,exit_px,exit_reason,pnl_pts,ORH,ORL,PivotLow,PivotHigh,A_distance,TP_mult_A,Date,n_used,P_used,T,slippage,cost_pts
2024-01-01 14:08:00,long,21779.6,2024-01-01 14:43:00,21813.046499999997,TARGET,32.946499999998196,21737.35,21684.05,21723.6,21726.033333333333,33.94649999999991,1.0,2024-01-01,20,0.2,20,0.5,0.5
2024-01-02 10:05:00,short,21655.9,2024-01-02 10:25:00,21621.997000000003,TARGET,33.40299999999843,21755.6,21699.0,21709.63333333333,21757.6,34.40299999999992,1.0,2024-01-02,20,0.2,20,0.5,0.5
2024-01-03 12:29:00,short,21532.75,2024-01-03 15:25:00,21519.5,EOD,12.75,21677.0,21594.45,21655.625,21660.24166666667,34.45349999999988,1.0,2024-01-03,20,0.2,20,0.5,0.5
2024-01-04 12:32:00,long,21664.35,2024-01-04 15:25:00,21667.9,EOD,3.0500000000029104,21624.8,21564.55,21542.225000000002,21588.675,34.69099999999991,1.0,2024-01-04,20,0.2,20,0.5,0.5
2024-01-05 14:17:00,short,21639.95,2024-01-05 14:31:00,21652.89166666667,STOP,-13.441666666669335,21749.6,21698.2,21620.375,21652.39166666667,34.709499999999935,1.0,2024-01-05,20,0.2,20,0.5,0.5
2024-01-08 11:00:00,short,21641.05,2024-01-08 11:07:00,21608.48423076923,TARGET,32.06576923076864,21763.95,21695.3,21689.4,21703.733333333337,33.06576923076914,1.0,2024-01-08,26,0.2,20,0.5,0.5
2024-01-09 12:56:00,long,21717.15,2024-01-09 14:17:00,21631.7,STOP,-85.95000000000073,21673.65,21632.2,21550.64166666667,21628.425000000003,34.06038461538452,1.0,2024-01-09,26,0.2,20,0.5,0.5
2024-01-10 15:02:00,long,21628.05,2024-01-10 15:25:00,21628.85,EOD,0.2999999999992724,21564.5,21448.65,21575.88333333333,21621.15,16.77949999999997,1.0,2024-01-10,30,0.1,20,0.5,0.5
2024-01-11 10:25:00,short,21656.65,2024-01-11 10:25:00,21601.816666666666,STOP,54.33333333333576,21726.5,21683.0,21545.25,21601.316666666666,17.05916666666663,1.0,2024-01-11,30,0.1,20,0.5,0.5
2024-01-12 10:41:00,long,21822.9,2024-01-12 11:00:00,21839.407166666668,TARGET,16.007166666666308,21789.15,21715.15,21654.00833333333,21660.125,17.007166666666624,1.0,2024-01-12,30,0.1,20,0.5,0.5
2024-01-15 10:02:00,short,21999.35,2024-01-15 10:02:00,21881.866666666672,STOP,116.9833333333263,22081.95,22021.1,21821.7,21881.366666666672,17.24499999999995,1.0,2024-01-15,30,0.1,20,0.5,0.5
2024-01-16 11:02:00,long,22112.25,2024-01-16 13:06:00,22036.375,STOP,-76.375,22088.2,22029.2,22036.875,22084.891666666663,17.374333333333293,1.0,2024-01-16,30,0.1,20,0.5,0.5
2024-01-17 14:35:00,short,21609.8,2024-01-17 14:41:00,21592.967916666665,TARGET,16.332083333334594,21851.5,21636.95,22037.125,22046.975,17.332083333333323,1.0,2024-01-17,12,0.1,20,0.5,0.5
2024-01-18 09:44:00,short,21383.95,2024-01-18 09:46:00,21365.888333333332,TARGET,17.561666666668316,21474.4,21406.35,21614.324999999997,21700.975,18.56166666666665,1.0,2024-01-18,12,0.1,20,0.5,0.5
2024-01-20 12:42:00,short,21588.5,2024-01-20 12:56:00,21632.999999999996,STOP,-44.99999999999636,21720.3,21650.65,21622.8,21632.499999999996,18.335416666666667,1.0,2024-01-20,12,0.1,20,0.5,0.5
