Date,n,P,score_window
2021-09-24,22,0.3,145.69999999999345
2021-09-27,22,0.3,143.49999999999272
2021-09-28,22,0.3,105.299999999992
2021-09-29,30,0.3,119.99999999998909
2021-09-30,30,0.3,53.34999999999127
2021-10-01,18,0.12,77.64999999999782
2021-10-04,18,0.12,63.39999999999782
2021-10-05,18,0.12,77.54999999999927
2021-10-06,12,0.12,94.20000000000437
2021-10-07,14,0.1,157.74999999999636
2021-10-08,30,0.3,174.99999999999272
2021-10-11,30,0.3,174.99999999999272
2021-10-12,24,0.3,214.4499999999971
2021-10-13,24,0.3,214.4499999999971
2021-10-14,24,0.3,173.34999999999854
2021-10-18,24,0.3,174.04999999999927
2021-10-19,24,0.3,171.0
2021-10-20,24,0.3,129.60000000000218
2021-10-21,24,0.24,194.29999999999927
2021-10-22,22,0.26,237.200000000008
2021-10-25,24,0.24,246.49999999999636
2021-10-26,24,0.24,248.29999999999563
2021-10-27,24,0.24,300.94999999999345
2021-10-28,24,0.24,262.8999999999942
2021-10-29,24,0.24,314.6999999999971
2021-11-01,24,0.24,295.74999999999636
2021-11-02,24,0.24,342.49999999999636
2021-11-03,24,0.24,290.7999999999993
2021-11-08,28,0.3,305.1000000000131
2021-11-09,24,0.24,270.40000000000146
2021-11-10,24,0.24,270.40000000000146
2021-11-11,24,0.24,262.7000000000007
2021-11-12,22,0.3,178.05000000001382
2021-11-15,24,0.24,222.95000000000073
2021-11-16,22,0.3,201.20000000001164
2021-11-17,24,0.1,214.15000000000873
2021-11-18,24,0.1,209.90000000000873
2021-11-22,22,0.3,312.15000000000873
2021-11-23,22,0.3,357.6000000000058
2021-11-24,22,0.3,312.25000000000364
2021-11-25,20,0.1,263.6500000000051
2021-11-26,14,0.16,362.39999999999054
2021-11-29,14,0.16,386.44999999999345
2021-11-30,14,0.16,390.8999999999978
2021-12-01,24,0.1,303.5500000000029
2021-12-02,24,0.1,278.1000000000022
2021-12-03,24,0.1,290.20000000000437
2021-12-06,28,0.28,369.54999999999563
2021-12-07,28,0.28,381.0999999999949
2021-12-08,26,0.3,437.79999999999563
2021-12-09,26,0.3,431.1499999999942
2021-12-10,26,0.3,435.9499999999971
2021-12-13,26,0.3,496.1499999999942
2021-12-14,16,0.3,556.6499999999942
2021-12-15,16,0.3,556.6499999999942
2021-12-16,16,0.3,559.0999999999949
2021-12-17,18,0.28,520.0
2021-12-20,18,0.3,499.1999999999971
2021-12-21,18,0.28,510.75000000000364
2021-12-22,18,0.28,307.3500000000022
2021-12-23,20,0.3,290.8500000000022
2021-12-24,20,0.3,281.4500000000007
2021-12-27,14,0.1,105.39999999999782
2021-12-28,20,0.3,198.90000000000146
2021-12-29,16,0.14,344.7000000000007
2021-12-30,16,0.14,344.7000000000007
