Date,n,P,score_window
2021-09-24,16,0.28,174.0332499999895
2021-09-27,16,0.28,222.19158333332234
2021-09-28,18,0.1,179.30055555556464
2021-09-29,20,0.1,180.53575000001
2021-09-30,20,0.1,213.29691666666986
2021-10-01,12,0.1,296.7733333333308
2021-10-04,12,0.1,282.6441666666651
2021-10-05,12,0.1,268.97874999999476
2021-10-06,12,0.1,241.84166666666715
2021-10-07,12,0.1,338.47499999999854
2021-10-08,14,0.1,269.38630952380845
2021-10-11,16,0.28,258.2469166666451
2021-10-12,26,0.3,301.29032051279864
2021-10-13,26,0.3,301.29032051279864
2021-10-14,26,0.3,259.6739743589533
2021-10-18,26,0.3,260.373974358954
2021-10-19,26,0.3,248.31564102562697
2021-10-20,14,0.14,198.35283333333064
2021-10-21,18,0.18,324.1513333333278
2021-10-22,18,0.18,353.469833333329
2021-10-25,18,0.18,357.9008333333295
2021-10-26,24,0.24,276.6791666666577
2021-10-27,24,0.24,330.2541666666584
2021-10-28,24,0.24,295.3546666666589
2021-10-29,24,0.24,307.9654999999984
2021-11-01,24,0.24,287.9904999999926
2021-11-02,24,0.24,335.4769999999917
2021-11-03,12,0.28,313.63650000000416
2021-11-08,26,0.3,318.41903846153946
2021-11-09,26,0.3,270.4965384615389
2021-11-10,26,0.3,270.4965384615389
2021-11-11,26,0.3,278.1715384615345
2021-11-12,22,0.3,204.78977272727934
2021-11-15,24,0.24,232.53899999998976
2021-11-16,22,0.3,227.93977272727716
2021-11-17,28,0.1,310.76833333333343
2021-11-18,28,0.1,305.14333333333707
2021-11-22,22,0.3,337.0497727272741
2021-11-23,22,0.3,350.3084090909106
2021-11-24,28,0.1,378.65333333333547
2021-11-25,28,0.1,383.5981547619085
2021-11-26,18,0.18,434.5489999999918
2021-11-29,18,0.18,476.1319999999905
2021-11-30,14,0.16,473.6778571428513
2021-12-01,28,0.1,426.520238095236
2021-12-02,28,0.1,408.0452380952411
2021-12-03,28,0.1,413.5288095238102
2021-12-06,24,0.1,448.2374999999993
2021-12-07,24,0.1,453.8018749999974
2021-12-08,28,0.28,461.8704999999936
2021-12-09,24,0.1,463.3449999999975
2021-12-10,28,0.28,450.195499999998
2021-12-13,28,0.28,502.49549999999726
2021-12-14,14,0.28,552.2719999999972
2021-12-15,14,0.28,552.2719999999972
2021-12-16,14,0.28,550.3719999999994
2021-12-17,18,0.28,540.2914444444468
2021-12-20,18,0.28,521.1801111111126
2021-12-21,18,0.28,530.619999999999
2021-12-22,18,0.28,301.6200000000026
2021-12-23,20,0.3,296.4717500000115
2021-12-24,20,0.3,287.07175000001007
2021-12-27,16,0.1,184.8160416666724
2021-12-28,20,0.3,217.8165000000081
2021-12-29,20,0.14,383.4591666666711
2021-12-30,20,0.14,383.4591666666711
